Designator,Mid X,Mid Y,Rotation,Layer
C1,135.471536,-95.178502,180.0,top
C2,139.649533,-93.552903,90.0,top
C3,141.7066,-88.3412,180.0,top
C4,153.3906,-101.4476,180.0,bottom
C5,153.916525,-108.017581,180.0,bottom
C6,133.680542,-96.674103,180.0,top
D1,140.7922,-104.70758,180.0,top
D10,127.0,-97.0788,270.0,top
D2,140.808628,-106.172,180.0,top
D3,140.809373,-107.64371,180.0,top
D4,137.1346,-93.451301,180.0,top
D5_2,124.05,-93.7,270.0,top
D5,124.05,-103.35,90.0,top
D6,125.5268,-96.012,270.0,top
D7,125.5268,-101.5492,90.0,top
D9,127.0,-100.3808,90.0,top
J1,116.225,-98.550001,270.0,top
J2,147.726398,-106.176994,180.0,top
J3,151.6904,-88.009,90.0,bottom
Q1,139.6492,-85.598,0.0,top
R10,133.705938,-101.731703,180.0,top
R11,137.495229,-104.698804,180.0,top
R12,137.512626,-106.171999,180.0,top
R13,137.510719,-107.645202,180.0,top
R3,141.1224,-93.552897,90.0,top
R4,142.604289,-96.897351,90.0,top
R5,142.599014,-93.559526,90.0,top
R6,138.404602,-88.341199,0.0,top
R7,144.1196,-87.9856,270.0,top
R8,133.7056,-100.274093,0.0,top
R9,133.70594,-103.204897,180.0,top
U1,138.0162,-98.9658,90.0,top
U2,155.466527,-104.730078,0.0,bottom
